Product ID,SEO Title,Short Description,Metal Color,Stone Shape
P-930785,Graduated 5-Stone Diamond Curve Pendant Necklace 18k White Gold,Elegant curved bar necklace featuring 5 round brilliant diamonds in graduated sizes. 18k White Gold shared prong setting.,White Gold,Round
P-929020,18k Yellow Gold Open Circle Pendant Necklace Screw Motif,Minimalist open circle pendant featuring distinct screw-head motifs. Modern industrial luxury in 18k Yellow Gold.,Yellow Gold,N/A
P-785156,Geometric Cube Pendant Necklace with Floating Princess Diamond Black Gold,Avant-garde open cube cage pendant housing a floating princess-cut diamond. Crafted in striking Black Gold/Rhodium.,Black Gold,Princess
E-346463,Mixed Shape Diamond Cluster Earrings (Oval Emerald Round) White Gold,Asymmetrical 3-stone diamond cluster studs featuring Oval, Emerald, and Round cuts. 18k White Gold setting.,White Gold,"Oval, Emerald, Round"
E-342834,Multi-Shape Heart & Fancy Cut Diamond Cluster Studs Yellow Gold,Unique cluster earrings combining Heart, Princess/Emerald, and Oval diamonds. 18k Yellow Gold basket setting.,Yellow Gold,"Heart, Princess, Oval, Emerald"
E-302944,Classic Princess Cut Diamond Stud Earrings 18k White Gold,Timeless solitaire stud earrings featuring square Princess-cut diamonds. Secure 4-prong setting in 18k White Gold.,White Gold,Princess
BR-324109,18k White Gold Classic Diamond Tennis Bracelet,Timeless line bracelet featuring round brilliant diamonds in a secure 4-prong setting.,White Gold,Round
BR-359363,18k White Gold Screw Motif Bangle Bracelet with Diamonds,Iconic oval bangle bracelet featuring diamond accents and screw motifs. Includes screwdriver.,White Gold,Round
BR-405993,18k White Gold Round Diamond Tennis Bracelet (Prong Set),Essential luxury piece with a continuous line of matched round diamonds.,White Gold,Round
BR-439742,18k Yellow Gold Black Diamond Tennis Bracelet,Bold and sophisticated line bracelet featuring round black diamonds in a yellow gold setting.,Yellow Gold,Round
BR-458774,18k White Gold Bezel Set Diamond Bangle Bracelet,Modern hinged bangle featuring bezel-set round diamonds in a segmented design.,White Gold,Round
